employee_ref,bike_value,ebike,lease_start,lease_end
E1000,600,yes,2026-01-01,2027-01-01
E1001,737,no,2026-02-01,2027-02-01
E1002,874,no,2026-03-01,2027-03-01
E1003,1011,yes,2026-04-01,2027-04-01
E1004,1148,no,2026-05-01,2027-05-01
E1005,1285,no,2026-06-01,2027-06-01
E1006,1422,yes,2026-07-01,2027-07-01
E1007,1559,no,2026-08-01,2027-08-01
E1008,1696,no,2026-09-01,2027-09-01
E1009,1833,yes,2026-10-01,2027-10-01
E1010,1970,no,2026-11-01,2027-11-01
E1011,2107,no,2026-12-01,2027-12-01
E1012,2244,yes,2026-01-01,2027-01-01
E1013,2381,no,2026-02-01,2027-02-01
E1014,2518,no,2026-03-01,2027-03-01
E1015,2655,yes,2026-04-01,2027-04-01
E1016,2792,no,2026-05-01,2027-05-01
E1017,2929,no,2026-06-01,2027-06-01
E1018,3066,yes,2026-07-01,2027-07-01
E1019,3203,no,2026-08-01,2027-08-01
E1020,3340,no,2026-09-01,2027-09-01
E1021,3477,yes,2026-10-01,2027-10-01
E1022,3614,no,2026-11-01,2027-11-01
E1023,3751,no,2026-12-01,2027-12-01
E1024,3888,yes,2026-01-01,2027-01-01
E1025,4025,no,2026-02-01,2027-02-01
E1026,4162,no,2026-03-01,2027-03-01
E1027,4299,yes,2026-04-01,2027-04-01
E1028,4436,no,2026-05-01,2027-05-01
E1029,4573,no,2026-06-01,2027-06-01
E1030,4710,yes,2026-07-01,2027-07-01
E1031,4847,no,2026-08-01,2027-08-01
E1032,4984,no,2026-09-01,2027-09-01
E1033,721,yes,2026-10-01,2027-10-01
E1034,858,no,2026-11-01,2027-11-01
E1035,995,no,2026-12-01,2027-12-01
E1036,1132,yes,2026-01-01,2027-01-01
E1037,1269,no,2026-02-01,2027-02-01
E1038,1406,no,2026-03-01,2027-03-01
E1039,1543,yes,2026-04-01,2027-04-01
E1040,1680,no,2026-05-01,2027-05-01
E1041,1817,no,2026-06-01,2027-06-01
E1042,1954,yes,2026-07-01,2027-07-01
E1043,2091,no,2026-08-01,2027-08-01
E1044,2228,no,2026-09-01,2027-09-01
E1045,2365,yes,2026-10-01,2027-10-01
E1046,2502,no,2026-11-01,2027-11-01
E1047,2639,no,2026-12-01,2027-12-01
E1048,2776,yes,2026-01-01,2027-01-01
E1049,2913,no,2026-02-01,2027-02-01
E1050,3050,no,2026-03-01,2027-03-01
E1051,3187,yes,2026-04-01,2027-04-01
E1052,3324,no,2026-05-01,2027-05-01
E1053,3461,no,2026-06-01,2027-06-01
E1054,3598,yes,2026-07-01,2027-07-01
E1055,3735,no,2026-08-01,2027-08-01
E1056,3872,no,2026-09-01,2027-09-01
E1057,4009,yes,2026-10-01,2027-10-01
E1058,4146,no,2026-11-01,2027-11-01
E1059,4283,no,2026-12-01,2027-12-01
E1060,4420,yes,2026-01-01,2027-01-01
E1061,4557,no,2026-02-01,2027-02-01
E1062,4694,no,2026-03-01,2027-03-01
E1063,4831,yes,2026-04-01,2027-04-01
E1064,4968,no,2026-05-01,2027-05-01
E1065,705,no,2026-06-01,2027-06-01
E1066,842,yes,2026-07-01,2027-07-01
E1067,979,no,2026-08-01,2027-08-01
E1068,1116,no,2026-09-01,2027-09-01
E1069,1253,yes,2026-10-01,2027-10-01
E1070,1390,no,2026-11-01,2027-11-01
E1071,1527,no,2026-12-01,2027-12-01
E1072,1664,yes,2026-01-01,2027-01-01
E1073,1801,no,2026-02-01,2027-02-01
E1074,1938,no,2026-03-01,2027-03-01
E1075,2075,yes,2026-04-01,2027-04-01
E1076,2212,no,2026-05-01,2027-05-01
E1077,2349,no,2026-06-01,2027-06-01
E1078,2486,yes,2026-07-01,2027-07-01
E1079,2623,no,2026-08-01,2027-08-01
E1080,2760,no,2026-09-01,2027-09-01
E1081,2897,yes,2026-10-01,2027-10-01
E1082,3034,no,2026-11-01,2027-11-01
E1083,3171,no,2026-12-01,2027-12-01
E1084,3308,yes,2026-01-01,2027-01-01
E1085,3445,no,2026-02-01,2027-02-01
E1086,3582,no,2026-03-01,2027-03-01
E1087,3719,yes,2026-04-01,2027-04-01
E1088,3856,no,2026-05-01,2027-05-01
E1089,3993,no,2026-06-01,2027-06-01
E1090,4130,yes,2026-07-01,2027-07-01
E1091,4267,no,2026-08-01,2027-08-01
E1092,4404,no,2026-09-01,2027-09-01
E1093,4541,yes,2026-10-01,2027-10-01
E1094,4678,no,2026-11-01,2027-11-01
E1095,4815,no,2026-12-01,2027-12-01
E1096,4952,yes,2026-01-01,2027-01-01
E1097,689,no,2026-02-01,2027-02-01
E1098,826,no,2026-03-01,2027-03-01
E1099,963,yes,2026-04-01,2027-04-01
E1100,1100,no,2026-05-01,2027-05-01
E1101,1237,no,2026-06-01,2027-06-01
E1102,1374,yes,2026-07-01,2027-07-01
E1103,1511,no,2026-08-01,2027-08-01
E1104,1648,no,2026-09-01,2027-09-01
E1105,1785,yes,2026-10-01,2027-10-01
E1106,1922,no,2026-11-01,2027-11-01
E1107,2059,no,2026-12-01,2027-12-01
E1108,2196,yes,2026-01-01,2027-01-01
E1109,2333,no,2026-02-01,2027-02-01
E1110,2470,no,2026-03-01,2027-03-01
E1111,2607,yes,2026-04-01,2027-04-01
E1112,2744,no,2026-05-01,2027-05-01
E1113,2881,no,2026-06-01,2027-06-01
E1114,3018,yes,2026-07-01,2027-07-01
E1115,3155,no,2026-08-01,2027-08-01
E1116,3292,no,2026-09-01,2027-09-01
E1117,3429,yes,2026-10-01,2027-10-01
E1118,3566,no,2026-11-01,2027-11-01
E1119,3703,no,2026-12-01,2027-12-01
E1120,3840,yes,2026-01-01,2027-01-01
E1121,3977,no,2026-02-01,2027-02-01
E1122,4114,no,2026-03-01,2027-03-01
E1123,4251,yes,2026-04-01,2027-04-01
E1124,4388,no,2026-05-01,2027-05-01
E1125,4525,no,2026-06-01,2027-06-01
E1126,4662,yes,2026-07-01,2027-07-01
E1127,4799,no,2026-08-01,2027-08-01
E1128,4936,no,2026-09-01,2027-09-01
E1129,673,yes,2026-10-01,2027-10-01
E1130,810,no,2026-11-01,2027-11-01
E1131,947,no,2026-12-01,2027-12-01
E1132,1084,yes,2026-01-01,2027-01-01
E1133,1221,no,2026-02-01,2027-02-01
E1134,1358,no,2026-03-01,2027-03-01
E1135,1495,yes,2026-04-01,2027-04-01
E1136,1632,no,2026-05-01,2027-05-01
E1137,1769,no,2026-06-01,2027-06-01
E1138,1906,yes,2026-07-01,2027-07-01
E1139,2043,no,2026-08-01,2027-08-01
E1140,2180,no,2026-09-01,2027-09-01
E1141,2317,yes,2026-10-01,2027-10-01
E1142,2454,no,2026-11-01,2027-11-01
E1143,2591,no,2026-12-01,2027-12-01
E1144,2728,yes,2026-01-01,2027-01-01
E1145,2865,no,2026-02-01,2027-02-01
E1146,3002,no,2026-03-01,2027-03-01
E1147,3139,yes,2026-04-01,2027-04-01
E1148,3276,no,2026-05-01,2027-05-01
E1149,3413,no,2026-06-01,2027-06-01
E1150,3550,yes,2026-07-01,2027-07-01
E1151,3687,no,2026-08-01,2027-08-01
E1152,3824,no,2026-09-01,2027-09-01
E1153,3961,yes,2026-10-01,2027-10-01
E1154,4098,no,2026-11-01,2027-11-01
E1155,4235,no,2026-12-01,2027-12-01
E1156,4372,yes,2026-01-01,2027-01-01
E1157,4509,no,2026-02-01,2027-02-01
E1158,4646,no,2026-03-01,2027-03-01
E1159,4783,yes,2026-04-01,2027-04-01
E1160,4920,no,2026-05-01,2027-05-01
E1161,657,no,2026-06-01,2027-06-01
E1162,794,yes,2026-07-01,2027-07-01
E1163,931,no,2026-08-01,2027-08-01
E1164,1068,no,2026-09-01,2027-09-01
E1165,1205,yes,2026-10-01,2027-10-01
E1166,1342,no,2026-11-01,2027-11-01
E1167,1479,no,2026-12-01,2027-12-01
E1168,1616,yes,2026-01-01,2027-01-01
E1169,1753,no,2026-02-01,2027-02-01
E1170,1890,no,2026-03-01,2027-03-01
E1171,2027,yes,2026-04-01,2027-04-01
E1172,2164,no,2026-05-01,2027-05-01
E1173,2301,no,2026-06-01,2027-06-01
E1174,2438,yes,2026-07-01,2027-07-01
E1175,2575,no,2026-08-01,2027-08-01
E1176,2712,no,2026-09-01,2027-09-01
E1177,2849,yes,2026-10-01,2027-10-01
E1178,2986,no,2026-11-01,2027-11-01
E1179,3123,no,2026-12-01,2027-12-01
E1180,3260,yes,2026-01-01,2027-01-01
E1181,3397,no,2026-02-01,2027-02-01
E1182,3534,no,2026-03-01,2027-03-01
E1183,3671,yes,2026-04-01,2027-04-01
E1184,3808,no,2026-05-01,2027-05-01
E1185,3945,no,2026-06-01,2027-06-01
E1186,4082,yes,2026-07-01,2027-07-01
E1187,4219,no,2026-08-01,2027-08-01
E1188,4356,no,2026-09-01,2027-09-01
E1189,4493,yes,2026-10-01,2027-10-01
E1190,4630,no,2026-11-01,2027-11-01
E1191,4767,no,2026-12-01,2027-12-01
E1192,4904,yes,2026-01-01,2027-01-01
E1193,641,no,2026-02-01,2027-02-01
E1194,778,no,2026-03-01,2027-03-01
E1195,915,yes,2026-04-01,2027-04-01
E1196,1052,no,2026-05-01,2027-05-01
E1197,1189,no,2026-06-01,2027-06-01
E1198,1326,yes,2026-07-01,2027-07-01
E1199,1463,no,2026-08-01,2027-08-01
E1200,1600,no,2026-09-01,2027-09-01
E1201,1737,yes,2026-10-01,2027-10-01
E1202,1874,no,2026-11-01,2027-11-01
E1203,2011,no,2026-12-01,2027-12-01
E1204,2148,yes,2026-01-01,2027-01-01
E1205,2285,no,2026-02-01,2027-02-01
E1206,2422,no,2026-03-01,2027-03-01
E1207,2559,yes,2026-04-01,2027-04-01
E1208,2696,no,2026-05-01,2027-05-01
E1209,2833,no,2026-06-01,2027-06-01
E1210,2970,yes,2026-07-01,2027-07-01
E1211,3107,no,2026-08-01,2027-08-01
E1212,3244,no,2026-09-01,2027-09-01
E1213,3381,yes,2026-10-01,2027-10-01
E1214,3518,no,2026-11-01,2027-11-01
E1215,3655,no,2026-12-01,2027-12-01
E1216,3792,yes,2026-01-01,2027-01-01
E1217,3929,no,2026-02-01,2027-02-01
E1218,4066,no,2026-03-01,2027-03-01
E1219,4203,yes,2026-04-01,2027-04-01
E1220,4340,no,2026-05-01,2027-05-01
E1221,4477,no,2026-06-01,2027-06-01
E1222,4614,yes,2026-07-01,2027-07-01
E1223,4751,no,2026-08-01,2027-08-01
E1224,4888,no,2026-09-01,2027-09-01
E1225,625,yes,2026-10-01,2027-10-01
E1226,762,no,2026-11-01,2027-11-01
E1227,899,no,2026-12-01,2027-12-01
E1228,1036,yes,2026-01-01,2027-01-01
E1229,1173,no,2026-02-01,2027-02-01
E1230,1310,no,2026-03-01,2027-03-01
E1231,1447,yes,2026-04-01,2027-04-01
E1232,1584,no,2026-05-01,2027-05-01
E1233,1721,no,2026-06-01,2027-06-01
E1234,1858,yes,2026-07-01,2027-07-01
E1235,1995,no,2026-08-01,2027-08-01
E1236,2132,no,2026-09-01,2027-09-01
E1237,2269,yes,2026-10-01,2027-10-01
E1238,2406,no,2026-11-01,2027-11-01
E1239,2543,no,2026-12-01,2027-12-01
E1240,2680,yes,2026-01-01,2027-01-01
E1241,2817,no,2026-02-01,2027-02-01
E1242,2954,no,2026-03-01,2027-03-01
E1243,3091,yes,2026-04-01,2027-04-01
E1244,3228,no,2026-05-01,2027-05-01
E1245,3365,no,2026-06-01,2027-06-01
E1246,3502,yes,2026-07-01,2027-07-01
E1247,3639,no,2026-08-01,2027-08-01
E1248,3776,no,2026-09-01,2027-09-01
E1249,3913,yes,2026-10-01,2027-10-01
E1250,4050,no,2026-11-01,2027-11-01
E1251,4187,no,2026-12-01,2027-12-01
E1252,4324,yes,2026-01-01,2027-01-01
E1253,4461,no,2026-02-01,2027-02-01
E1254,4598,no,2026-03-01,2027-03-01
E1255,4735,yes,2026-04-01,2027-04-01
E1256,4872,no,2026-05-01,2027-05-01
