driver_age,area,vehicle_group,rate
17-20,1,1,1.55
17-20,1,2,1.77
17-20,1,3,1.99
17-20,1,4,2.21
17-20,1,5,2.43
17-20,1,6,2.65
17-20,1,7,2.87
17-20,1,8,3.09
17-20,1,9,3.32
17-20,1,10,3.54
17-20,2,1,1.73
17-20,2,2,1.98
17-20,2,3,2.22
17-20,2,4,2.47
17-20,2,5,2.72
17-20,2,6,2.96
17-20,2,7,3.21
17-20,2,8,3.46
17-20,2,9,3.71
17-20,2,10,3.95
17-20,3,1,1.82
17-20,3,2,2.08
17-20,3,3,2.34
17-20,3,4,2.60
17-20,3,5,2.86
17-20,3,6,3.12
17-20,3,7,3.38
17-20,3,8,3.64
17-20,3,9,3.90
17-20,3,10,4.16
17-20,4,1,2.09
17-20,4,2,2.39
17-20,4,3,2.69
17-20,4,4,2.99
17-20,4,5,3.29
17-20,4,6,3.59
17-20,4,7,3.89
17-20,4,8,4.19
17-20,4,9,4.49
17-20,4,10,4.78
17-20,5,1,2.46
17-20,5,2,2.81
17-20,5,3,3.16
17-20,5,4,3.51
17-20,5,5,3.86
17-20,5,6,4.21
17-20,5,7,4.56
17-20,5,8,4.91
17-20,5,9,5.27
17-20,5,10,5.62
21-24,1,1,1.13
21-24,1,2,1.29
21-24,1,3,1.45
21-24,1,4,1.62
21-24,1,5,1.78
21-24,1,6,1.94
21-24,1,7,2.10
21-24,1,8,2.26
21-24,1,9,2.42
21-24,1,10,2.58
21-24,2,1,1.26
21-24,2,2,1.44
21-24,2,3,1.62
21-24,2,4,1.81
21-24,2,5,1.99
21-24,2,6,2.17
21-24,2,7,2.35
21-24,2,8,2.53
21-24,2,9,2.71
21-24,2,10,2.89
21-24,3,1,1.33
21-24,3,2,1.52
21-24,3,3,1.71
21-24,3,4,1.90
21-24,3,5,2.09
21-24,3,6,2.28
21-24,3,7,2.47
21-24,3,8,2.66
21-24,3,9,2.85
21-24,3,10,3.04
21-24,4,1,1.53
21-24,4,2,1.75
21-24,4,3,1.97
21-24,4,4,2.19
21-24,4,5,2.40
21-24,4,6,2.62
21-24,4,7,2.84
21-24,4,8,3.06
21-24,4,9,3.28
21-24,4,10,3.50
21-24,5,1,1.80
21-24,5,2,2.05
21-24,5,3,2.31
21-24,5,4,2.57
21-24,5,5,2.82
21-24,5,6,3.08
21-24,5,7,3.33
21-24,5,8,3.59
21-24,5,9,3.85
21-24,5,10,4.10
25-29,1,1,0.80
25-29,1,2,0.92
25-29,1,3,1.03
25-29,1,4,1.15
25-29,1,5,1.26
25-29,1,6,1.38
25-29,1,7,1.49
25-29,1,8,1.61
25-29,1,9,1.72
25-29,1,10,1.84
25-29,2,1,0.90
25-29,2,2,1.03
25-29,2,3,1.15
25-29,2,4,1.28
25-29,2,5,1.41
25-29,2,6,1.54
25-29,2,7,1.67
25-29,2,8,1.80
25-29,2,9,1.92
25-29,2,10,2.05
25-29,3,1,0.95
25-29,3,2,1.08
25-29,3,3,1.22
25-29,3,4,1.35
25-29,3,5,1.49
25-29,3,6,1.62
25-29,3,7,1.76
25-29,3,8,1.89
25-29,3,9,2.03
25-29,3,10,2.16
25-29,4,1,1.09
25-29,4,2,1.24
25-29,4,3,1.40
25-29,4,4,1.55
25-29,4,5,1.71
25-29,4,6,1.86
25-29,4,7,2.02
25-29,4,8,2.17
25-29,4,9,2.33
25-29,4,10,2.48
25-29,5,1,1.28
25-29,5,2,1.46
25-29,5,3,1.64
25-29,5,4,1.82
25-29,5,5,2.00
25-29,5,6,2.19
25-29,5,7,2.37
25-29,5,8,2.55
25-29,5,9,2.73
25-29,5,10,2.92
30-49,1,1,0.60
30-49,1,2,0.68
30-49,1,3,0.77
30-49,1,4,0.85
30-49,1,5,0.94
30-49,1,6,1.02
30-49,1,7,1.11
30-49,1,8,1.19
30-49,1,9,1.28
30-49,1,10,1.36
30-49,2,1,0.67
30-49,2,2,0.76
30-49,2,3,0.86
30-49,2,4,0.95
30-49,2,5,1.05
30-49,2,6,1.14
30-49,2,7,1.24
30-49,2,8,1.33
30-49,2,9,1.43
30-49,2,10,1.52
30-49,3,1,0.70
30-49,3,2,0.80
30-49,3,3,0.90
30-49,3,4,1.00
30-49,3,5,1.10
30-49,3,6,1.20
30-49,3,7,1.30
30-49,3,8,1.40
30-49,3,9,1.50
30-49,3,10,1.60
30-49,4,1,0.81
30-49,4,2,0.92
30-49,4,3,1.04
30-49,4,4,1.15
30-49,4,5,1.27
30-49,4,6,1.38
30-49,4,7,1.50
30-49,4,8,1.61
30-49,4,9,1.73
30-49,4,10,1.84
30-49,5,1,0.95
30-49,5,2,1.08
30-49,5,3,1.22
30-49,5,4,1.35
30-49,5,5,1.49
30-49,5,6,1.62
30-49,5,7,1.76
30-49,5,8,1.89
30-49,5,9,2.03
30-49,5,10,2.16
50-64,1,1,0.57
50-64,1,2,0.65
50-64,1,3,0.73
50-64,1,4,0.81
50-64,1,5,0.89
50-64,1,6,0.97
50-64,1,7,1.05
50-64,1,8,1.13
50-64,1,9,1.21
50-64,1,10,1.29
50-64,2,1,0.63
50-64,2,2,0.72
50-64,2,3,0.81
50-64,2,4,0.90
50-64,2,5,0.99
50-64,2,6,1.08
50-64,2,7,1.17
50-64,2,8,1.26
50-64,2,9,1.35
50-64,2,10,1.44
50-64,3,1,0.67
50-64,3,2,0.76
50-64,3,3,0.86
50-64,3,4,0.95
50-64,3,5,1.05
50-64,3,6,1.14
50-64,3,7,1.24
50-64,3,8,1.33
50-64,3,9,1.43
50-64,3,10,1.52
50-64,4,1,0.76
50-64,4,2,0.87
